Hz Re(h) Im(h) h white
59.0 2.566177155968267e-24 9.181434009345413e-24 (2.566177155968267e-24+9.181434009345413e-24j) (0.43493235559706483+1.5561290116530773j)
59.25 -5.545924527607395e-24 -1.1506336590718792e-23 (-5.545924527607395e-24-1.1506336590718792e-23j) (-0.9430747201928965-1.9566323174287514j)
59.5 -6.89448696720402e-24 4.956675543059341e-24 (-6.89448696720402e-24+4.956675543059341e-24j) (-1.1762136035084119+0.8456190039457243j)
59.75 1.5519317422823667e-24 -5.3769734062552315e-24 (1.5519317422823667e-24-5.3769734062552315e-24j) (0.26561004180516157-0.9202583414656672j)
60.0 1.1689676535620659e-24 -4.3023964785637014e-24 (1.1689676535620659e-24-4.3023964785637014e-24j) (0.20069520466357232-0.7386605943954199j)
60.25 -4.541036869012537e-24 -9.299225396061301e-24 (-4.541036869012537e-24-9.299225396061301e-24j) (-0.7820381161041051-1.601473170057002j)
60.5 5.184231376815892e-24 2.6521592646284403e-24 (5.184231376815892e-24+2.6521592646284403e-24j) (0.8955146587455195+0.4581291470561714j)
60.75 -2.5222157990176086e-24 6.635192939730305e-24 (-2.5222157990176086e-24+6.635192939730305e-24j) (-0.4369819823007363+1.1495684726423985j)
61.0 -3.3358944565524415e-24 -1.2523815679649887e-24 (-3.3358944565524415e-24-1.2523815679649887e-24j) (-0.5796483016926263-0.21761505299310177j)
61.25 -3.149338889581262e-24 -1.2406164993314736e-23 (-3.149338889581262e-24-1.2406164993314736e-23j) (-0.5488070690123182-2.161911209425151j)
61.5 -2.0104659649157152e-24 6.965974060409137e-24 (-2.0104659649157152e-24+6.965974060409137e-24j) (-0.351336589684012+1.2173305158707515j)
