Hz Re(h) Im(h) h white
42.25 7.45260357853079e-24 2.734019099832598e-24 (7.45260357853079e-24+2.734019099832598e-24j) (1.1976960133156835+0.4393798411110413j)
42.5 -7.210695975350263e-24 9.683820345668745e-24 (-7.210695975350263e-24+9.683820345668745e-24j) (-1.1615019439857457+1.5598738589386436j)
42.75 9.227355805807528e-24 -7.72313066955201e-24 (9.227355805807528e-24-7.72313066955201e-24j) (1.474014152002167-1.23372330538254j)
43.0 5.687390271666377e-24 -7.811698442068257e-24 (5.687390271666377e-24-7.811698442068257e-24j) (0.9125431902692944-1.2533889670381324j)
43.25 3.2763127902447574e-24 -3.9818952874703195e-24 (3.2763127902447574e-24-3.9818952874703195e-24j) (0.5153076735700638-0.6262836695859687j)
43.5 -4.375314137833416e-25 3.995136739333623e-24 (-4.375314137833416e-25+3.995136739333623e-24j) (-0.07059536310512037+0.6446122949871764j)
43.75 1.0113347255312926e-23 2.654290550734659e-24 (1.0113347255312926e-23+2.654290550734659e-24j) (1.6433021352703536+0.4312915614915495j)
44.0 -7.235345797278598e-24 -9.778520447086492e-25 (-7.235345797278598e-24-9.778520447086492e-25j) (-1.1849792866405604-0.1601491415675943j)
44.25 2.3568162549130698e-24 8.859786110399719e-25 (2.3568162549130698e-24+8.859786110399719e-25j) (0.39027463021860775+0.14671274185436j)
44.5 -1.0915079620104417e-23 -7.199717367266304e-24 (-1.0915079620104417e-23-7.199717367266304e-24j) (-1.7990748261018268-1.1866913225845088j)
44.75 1.1245876099998573e-23 -8.429623753296785e-25 (1.1245876099998573e-23-8.429623753296785e-25j) (1.8773661451279853-0.14072260898026515j)
45.0 -1.4181723686196825e-23 -6.389623906630941e-24 (-1.4181723686196825e-23-6.389623906630941e-24j) (-2.391981836034053-1.0777155627863524j)
45.25 1.5458640473323362e-24 5.4062844324376214e-24 (1.5458640473323362e-24+5.4062844324376214e-24j) (0.2604490447126559+0.9108573411116861j)
45.5 -3.5585068341419804e-24 -8.322699793981752e-25 (-3.5585068341419804e-24-8.322699793981752e-25j) (-0.6024562299908429-0.14090354676631642j)
45.75 -3.227060757242556e-24 1.4063842626465094e-24 (-3.227060757242556e-24+1.4063842626465094e-24j) (-0.5517765529169706+0.2404695538434323j)
46.0 -4.413472302758981e-24 -7.008863286936387e-25 (-4.413472302758981e-24-7.008863286936387e-25j) (-0.7584969249273862-0.1204539393405596j)
46.25 3.3938156524296e-24 4.8241388440247554e-24 (3.3938156524296e-24+4.8241388440247554e-24j) (0.5807594088190583+0.8255203906291104j)
46.5 -9.207431956064133e-24 -9.405224829849782e-24 (-9.207431956064133e-24-9.405224829849782e-24j) (-1.5905000746027786-1.6246669934584514j)
46.75 1.485444842906193e-24 1.6452898028980013e-23 (1.485444842906193e-24+1.6452898028980013e-23j) (0.2570788223622361+2.847424237887536j)
47.0 -5.041835734906857e-24 -1.1482404752615123e-23 (-5.041835734906857e-24-1.1482404752615123e-23j) (-0.8712586056998527-1.9842264763966238j)
47.25 2.464630575906269e-24 1.8596038177561514e-23 (2.464630575906269e-24+1.8596038177561514e-23j) (0.4313981614403285+3.2549692267468187j)
47.5 -8.09982833632625e-24 -1.198973310294993e-23 (-8.09982833632625e-24-1.198973310294993e-23j) (-1.417852988743993-2.098770271219193j)
47.75 2.187766527881564e-25 1.4757723232167979e-23 (2.187766527881564e-25+1.4757723232167979e-23j) (0.03845313746131036+2.5938817183204006j)
48.0 2.399118408873724e-24 9.777772317417775e-25 (2.399118408873724e-24+9.777772317417775e-25j) (0.42104983516629657+0.1716017603514218j)
48.25 -6.1422245170726315e-24 8.568386703944079e-24 (-6.1422245170726315e-24+8.568386703944079e-24j) (-1.0827218012877864+1.5103940047190154j)
48.5 -5.4700810495755184e-24 -1.1031028287064071e-24 (-5.4700810495755184e-24-1.1031028287064071e-24j) (-0.9727029354169935-0.19615639143642596j)
48.75 -1.0617887000386664e-23 3.903991079493305e-24 (-1.0617887000386664e-23+3.903991079493305e-24j) (-1.8870165254640165+0.6938193712176157j)
49.0 3.767173346288561e-25 5.571386330409362e-24 (3.767173346288561e-25+5.571386330409362e-24j) (0.06772539397243157+1.001611286540174j)
49.25 7.217800067499993e-24 3.112375573553108e-25 (7.217800067499993e-24+3.112375573553108e-25j) (1.3057681554851066+0.056305811657969516j)
49.5 1.1440982168978567e-23 5.087011036117346e-24 (1.1440982168978567e-23+5.087011036117346e-24j) (2.0711025348963745+0.9208756115812635j)
49.75 -3.532249093588576e-24 1.3491847228345052e-24 (-3.532249093588576e-24+1.3491847228345052e-24j) (-0.6437199888122866+0.24587653692520003j)
50.0 2.448176364085607e-25 -8.094233004493396e-24 (2.448176364085607e-25-8.094233004493396e-24j) (0.04453585632953863-1.4724576361171113j)
50.25 -1.1253946277996125e-23 -5.527516706346554e-24 (-1.1253946277996125e-23-5.527516706346554e-24j) (-2.0597081953672007-1.0116514846308948j)
50.5 1.5878933614725309e-24 5.563551943961976e-24 (1.5878933614725309e-24+5.563551943961976e-24j) (0.2926881470874765+1.0255006722826003j)
50.75 -6.5534762116827285e-24 7.423262271728773e-24 (-6.5534762116827285e-24+7.423262271728773e-24j) (-1.211656904780118+1.3724696171933488j)
51.0 2.817446689163921e-24 -1.112245251302143e-23 (2.817446689163921e-24-1.112245251302143e-23j) (0.5188301035419063-2.048188954618088j)
51.25 -1.0178606008828007e-23 9.581726721253106e-25 (-1.0178606008828007e-23+9.581726721253106e-25j) (-1.888385646630225+0.1777649630475386j)
51.5 1.0054529700760711e-23 1.5247926658029332e-23 (1.0054529700760711e-23+1.5247926658029332e-23j) (1.8691034175893317+2.8345385289893605j)
51.75 -9.835216820927525e-24 7.772650485730495e-24 (-9.835216820927525e-24+7.772650485730495e-24j) (-1.8436506363718186+1.4570143470371744j)
52.0 1.0042758731977934e-23 4.8129539350898846e-24 (1.0042758731977934e-23+4.8129539350898846e-24j) (1.8840854392412332+0.9029407825926821j)
52.25 -1.3146705657987874e-24 1.014808609158727e-23 (-1.3146705657987874e-24+1.014808609158727e-23j) (-0.24719601757381565+1.9081331347160786j)
52.5 1.6214235370550818e-23 -5.069069919870093e-24 (1.6214235370550818e-23-5.069069919870093e-24j) (3.070141463711479-0.9598208850299371j)
52.75 -7.195230618411344e-24 5.135619621693071e-24 (-7.195230618411344e-24+5.135619621693071e-24j) (-1.3580027240711068+0.9692789301577754j)
53.0 3.278617907806841e-24 -1.631693799978007e-24 (3.278617907806841e-24-1.631693799978007e-24j) (0.6186063019690388-0.3078663314644685j)
53.25 -3.012361714836754e-24 3.572098256806361e-24 (-3.012361714836754e-24+3.572098256806361e-24j) (-0.5654105975756959+0.670471344803105j)
53.5 7.952682103552725e-24 3.9849581158015695e-24 (7.952682103552725e-24+3.9849581158015695e-24j) (1.4803208995493768+0.7417644394480051j)
53.75 -8.84466028939572e-24 5.240775127194692e-24 (-8.84466028939572e-24+5.240775127194692e-24j) (-1.66373863904154+0.9858241913593457j)
54.0 7.466743991658881e-25 -1.3438844924443763e-23 (7.466743991658881e-25-1.3438844924443763e-23j) (0.13999728135830408-2.51970839782332j)
54.25 -6.420607526558969e-24 7.728258130265657e-24 (-6.420607526558969e-24+7.728258130265657e-24j) (-1.1877230386767552+1.4296202021675093j)
54.5 7.18467306690984e-24 -1.380959334960649e-23 (7.18467306690984e-24-1.380959334960649e-23j) (1.3469878338790862-2.5890328007281207j)
54.75 -7.338949622659306e-24 -8.416264967254312e-25 (-7.338949622659306e-24-8.416264967254312e-25j) (-1.3648856584692595-0.15652429764901699j)
55.0 3.805376855575401e-24 -1.8452151429519702e-24 (3.805376855575401e-24-1.8452151429519702e-24j) (0.7104588534328034-0.34449924003657656j)
55.25 -1.6093381393292074e-24 5.281814616504226e-24 (-1.6093381393292074e-24+5.281814616504226e-24j) (-0.30790370575178627+1.0105336186175637j)
55.5 7.385834926313694e-24 -1.196721140884193e-24 (7.385834926313694e-24-1.196721140884193e-24j) (1.4197063027565233-0.23003391807502005j)
