Hz Re(h) Im(h) h white
39.0 1.2747954495830158e-23 -5.392993338996087e-24 (1.2747954495830158e-23-5.392993338996087e-24j) (1.8793973559437145-0.7950748039810345j)
39.25 -4.142752929291251e-24 1.2692951773418328e-23 (-4.142752929291251e-24+1.2692951773418328e-23j) (-0.6191479393637054+1.8970030482361755j)
39.5 8.802745129917647e-24 1.3209466504311822e-24 (8.802745129917647e-24+1.3209466504311822e-24j) (1.3239626385416683+0.19867484368413246j)
39.75 -1.4454830334651255e-24 -3.54074723775118e-24 (-1.4454830334651255e-24-3.54074723775118e-24j) (-0.21875928498681968-0.5358563996373553j)
40.0 3.681076140162224e-24 1.0485222752897909e-24 (3.681076140162224e-24+1.0485222752897909e-24j) (0.5545059430579277+0.157946157845892j)
40.25 -1.0131711970535956e-23 -1.5191593718545506e-23 (-1.0131711970535956e-23-1.5191593718545506e-23j) (-1.5286503613095452-2.292074162220184j)
40.5 6.922843794006748e-24 1.1385107525694476e-23 (6.922843794006748e-24+1.1385107525694476e-23j) (1.0477746702373025+1.7231397440569107j)
40.75 -6.740307680170007e-25 -3.85210721139521e-24 (-6.740307680170007e-25-3.85210721139521e-24j) (-0.10316357871879522-0.5895831234902694j)
41.0 -2.1025532361533233e-24 4.39353828631454e-24 (-2.1025532361533233e-24+4.39353828631454e-24j) (-0.32475337498708884+0.6786113008134984j)
41.25 -1.2959756104459047e-23 -3.799094395531879e-24 (-1.2959756104459047e-23-3.799094395531879e-24j) (-1.756341540634617-0.5148636478867837j)
41.5 1.2140665456666967e-24 1.6104245281136846e-23 (1.2140665456666967e-24+1.6104245281136846e-23j) (0.19214154036771666+2.5487025450305563j)
41.75 6.113334722020651e-24 -8.321606899279201e-24 (6.113334722020651e-24-8.321606899279201e-24j) (0.9728699833229704-1.32429221258903j)
42.0 -4.6397394547265725e-24 7.990196439442286e-24 (-4.6397394547265725e-24+7.990196439442286e-24j) (-0.7363229137698923+1.2680377381730974j)
42.25 -3.2734436030997297e-25 -4.125858116124313e-24 (-3.2734436030997297e-25-4.125858116124313e-24j) (-0.05260698911371829-0.663060065535167j)
42.5 4.381489906036509e-25 1.0685555912836124e-23 (4.381489906036509e-25+1.0685555912836124e-23j) (0.07057722390199818+1.7212338459082865j)
42.75 2.871504170993274e-24 -4.7940402908936946e-24 (2.871504170993274e-24-4.7940402908936946e-24j) (0.45870538371495245-0.7658188740915763j)
43.0 -6.23796709204885e-24 7.973125155576533e-24 (-6.23796709204885e-24+7.973125155576533e-24j) (-1.0008833786792832+1.279289923558278j)
43.25 5.435727147184347e-24 -1.1558880514702663e-24 (5.435727147184347e-24-1.1558880514702663e-24j) (0.8549464259692834-0.1818013177753031j)
43.5 -8.629676102169492e-24 3.586883939311427e-24 (-8.629676102169492e-24+3.586883939311427e-24j) (-1.3923917202752176+0.5787410140955133j)
43.75 5.9354898679249106e-24 -1.0733547771949884e-23 (5.9354898679249106e-24-1.0733547771949884e-23j) (0.9644485576931526-1.7440775568549214j)
44.0 -8.865868365729586e-24 -6.333195808121758e-25 (-8.865868365729586e-24-6.333195808121758e-25j) (-1.4520204929836094-0.10372283593806704j)
44.25 9.32212894309815e-25 1.416231925848358e-24 (9.32212894309815e-25+1.416231925848358e-24j) (0.15436886174446401+0.23451950910981875j)
44.5 -1.6658927597447177e-23 -1.4015180248276586e-24 (-1.6658927597447177e-23-1.4015180248276586e-24j) (-2.7458028996158155-0.23100480111488866j)
44.75 -8.989898799473533e-24 -4.4989251787459375e-24 (-8.989898799473533e-24-4.4989251787459375e-24j) (-1.5007573891251096-0.7510424038943986j)
45.0 2.2627435004414914e-24 9.152025811547065e-24 (2.2627435004414914e-24+9.152025811547065e-24j) (0.3816490486222156+1.543640250546027j)
45.25 -7.521363226215831e-24 -6.602452349857773e-24 (-7.521363226215831e-24-6.602452349857773e-24j) (-1.2672083748796013-1.112389158832413j)
45.5 -1.6623516862289733e-24 7.262789133169756e-24 (-1.6623516862289733e-24+7.262789133169756e-24j) (-0.28143661835790906+1.229592288093196j)
45.75 -1.4300093527943956e-24 1.3114309926067573e-25 (-1.4300093527943956e-24+1.3114309926067573e-25j) (-0.24450907208767264+0.022423404048560597j)
46.0 1.6998395339102692e-24 -5.641415075756328e-24 (1.6998395339102692e-24-5.641415075756328e-24j) (0.2921334883046507-0.9695304951897525j)
46.25 3.031505895979031e-24 -4.711056543282679e-24 (3.031505895979031e-24-4.711056543282679e-24j) (0.5187599304988451-0.8061694249749057j)
46.5 -7.092298811663947e-24 1.2725430714996482e-24 (-7.092298811663947e-24+1.2725430714996482e-24j) (-1.2251300734975679+0.21982023432955378j)
46.75 2.2013802458381557e-25 7.540875848226606e-24 (2.2013802458381557e-25+7.540875848226606e-24j) (0.03809823325815011+1.3050632555626627j)
47.0 -7.712562745295326e-24 -6.647248933336787e-24 (-7.712562745295326e-24-6.647248933336787e-24j) (-1.332775801741342-1.14868336493034j)
47.25 1.0448850721117751e-23 3.6677976735196904e-24 (1.0448850721117751e-23+3.6677976735196904e-24j) (1.8289211512346648+0.6419952703498731j)
47.5 7.201035494397284e-24 4.0146400655884077e-25 (7.201035494397284e-24+4.0146400655884077e-25j) (1.260521738712997+0.0702751858356993j)
47.75 1.2820435111435716e-23 5.715178270299396e-24 (1.2820435111435716e-23+5.715178270299396e-24j) (2.2533755196045107+1.004524627481703j)
48.0 -1.6463984847342223e-24 -7.43200597260459e-24 (-1.6463984847342223e-24-7.43200597260459e-24j) (-0.28894605954060343-1.3043311568723825j)
48.25 4.869685097368893e-24 -4.677413120910007e-24 (4.869685097368893e-24-4.677413120910007e-24j) (0.8584046717394179-0.8245118923221094j)
48.5 -5.097743021378435e-24 -7.926422711479617e-24 (-5.097743021378435e-24-7.926422711479617e-24j) (-0.9064928939729489-1.40949550270566j)
48.75 1.024366484793593e-24 4.522490288689247e-24 (1.024366484793593e-24+4.522490288689247e-24j) (0.18205095654781425+0.8037393796615431j)
49.0 5.477066982707964e-25 -9.017942360824425e-24 (5.477066982707964e-25-9.017942360824425e-24j) (0.09846547666375441-1.6212253673147845j)
49.25 -4.343570053297446e-24 6.148924005030622e-24 (-4.343570053297446e-24+6.148924005030622e-24j) (-0.785792818265059+1.1123983874837273j)
49.5 -5.5785640700347385e-24 -7.871001380565921e-24 (-5.5785640700347385e-24-7.871001380565921e-24j) (-1.0098589453148574-1.4248471565372898j)
49.75 2.2948061670343556e-24 1.0380477791884257e-23 (2.2948061670343556e-24+1.0380477791884257e-23j) (0.418207369024746+1.8917468363674341j)
50.0 -1.0349330559304066e-24 -2.9504350979078345e-24 (-1.0349330559304066e-24-2.9504350979078345e-24j) (-0.18826923813890414-0.5367266654382945j)
50.25 -4.56643350157679e-24 1.0589146019723714e-23 (-4.56643350157679e-24+1.0589146019723714e-23j) (-0.8357531015752993+1.9380358053964772j)
50.5 -7.987528504873683e-24 -9.494722215752326e-24 (-7.987528504873683e-24-9.494722215752326e-24j) (-1.472299698848714-1.7501128979226617j)
50.75 3.5446430324008485e-24 6.694778554598994e-24 (3.5446430324008485e-24+6.694778554598994e-24j) (0.6553607683099272+1.2377819648132786j)
51.0 1.189162582052696e-24 2.6181329130774916e-24 (1.189162582052696e-24+2.6181329130774916e-24j) (0.2189831480920223+0.4821266629827745j)
51.25 -8.708629526865157e-25 2.6352576813149666e-24 (-8.708629526865157e-25+2.6352576813149666e-24j) (-0.16156682934862787+0.48890612096107894j)
51.5 -5.175472271831398e-24 2.789714038000797e-25 (-5.175472271831398e-24+2.789714038000797e-25j) (-0.9621029723734374+0.05185985021387644j)
51.75 6.216779074179276e-24 -2.5544405698586088e-24 (6.216779074179276e-24-2.5544405698586088e-24j) (1.1653600428925497-0.4788400772388543j)
52.0 2.8816471139060475e-24 3.7239576319375206e-25 (2.8816471139060475e-24+3.7239576319375206e-25j) (0.5406153342162991+0.06986381469410134j)
52.25 -6.880079633588412e-24 5.682783760858144e-24 (-6.880079633588412e-24+5.682783760858144e-24j) (-1.293653581557459+1.06852739459011j)
52.5 4.334660201938452e-24 -8.543982494563013e-25 (4.334660201938452e-24-8.543982494563013e-25j) (0.8207614921664435-0.16177904367556886j)
52.75 -1.5865702967369807e-24 -5.600379780584905e-25 (-1.5865702967369807e-24-5.600379780584905e-25j) (-0.2994437425516233-0.10569961410835572j)
53.0 -2.668327324038454e-24 -4.567547332896579e-25 (-2.668327324038454e-24-4.567547332896579e-25j) (-0.5034572935247983-0.0861800198780029j)
53.25 -8.71218457186031e-24 7.791231073585588e-24 (-8.71218457186031e-24+7.791231073585588e-24j) (-1.6352490010424405+1.4623889938148038j)
53.5 9.35063761904891e-24 -3.794795825921578e-24 (9.35063761904891e-24-3.794795825921578e-24j) (1.7405378602279442-0.7063674239065739j)
53.75 -3.2501553058939068e-24 3.705417698694524e-24 (-3.2501553058939068e-24+3.705417698694524e-24j) (-0.6113755405376922+0.6970133840524988j)
54.0 6.159477006509137e-24 -1.4509667322419435e-23 (6.159477006509137e-24-1.4509667322419435e-23j) (1.1548675519926126-2.7204816193260815j)
54.25 8.08558533047295e-24 -3.9566363806807634e-24 (8.08558533047295e-24-3.9566363806807634e-24j) (1.4957207613866332-0.7319226670625861j)
54.5 9.38250601311711e-24 4.246226243456771e-25 (9.38250601311711e-24+4.246226243456771e-25j) (1.7590391842842517+0.07960856446171456j)
