Hz Re(h+) Im(h+) Re(hx) Im(hx) h+ hx
36.25 -3.5921100186583566e-24 1.2015916125269112e-23 -1.1479143584848965e-23 -3.4316440167253805e-24 (-3.5921100186583566e-24+1.2015916125269112e-23j) (-1.1479143584848965e-23-3.4316440167253805e-24j)
36.5 -5.937005039046e-24 1.0917053325571408e-23 -1.0429368958738502e-23 -5.671788367751654e-24 (-5.937005039046e-24+1.0917053325571408e-23j) (-1.0429368958738502e-23-5.671788367751654e-24j)
36.75 -7.94915870657245e-24 9.405023708983315e-24 -8.984884419032203e-24 -7.5940555193792e-24 (-7.94915870657245e-24+9.405023708983315e-24j) (-8.984884419032203e-24-7.5940555193792e-24j)
37.0 -9.570102342234692e-24 7.572127597504763e-24 -7.233867066678438e-24 -9.142588693440222e-24 (-9.570102342234692e-24+7.572127597504763e-24j) (-7.233867066678438e-24-9.142588693440222e-24j)
37.25 -1.076396146097095e-23 5.514197320738205e-24 -5.2678682291089704e-24 -1.0283115982510976e-23 (-1.076396146097095e-23+5.514197320738205e-24j) (-5.2678682291089704e-24-1.0283115982510976e-23j)
37.5 -1.1515879491927553e-23 3.325957249285801e-24 -3.177380769272467e-24 -1.1001444485423563e-23 (-1.1515879491927553e-23+3.325957249285801e-24j) (-3.177380769272467e-24-1.1001444485423563e-23j)
37.75 -1.1829748809895228e-23 1.0972123123667297e-24 -1.0481978690109875e-24 -1.1301292697600465e-23 (-1.1829748809895228e-23+1.0972123123667297e-24j) (-1.0481978690109875e-24-1.1301292697600465e-23j)
38.0 -1.1725493322718863e-23 -1.0901122520081496e-24 1.0414149810923677e-24 -1.1201694490162156e-23 (-1.1725493322718863e-23-1.0901122520081496e-24j) (1.0414149810923677e-24-1.1201694490162156e-23j)
38.25 -1.1236116309015425e-23 -3.1641058578529142e-24 3.022759569998401e-24 -1.0734178826032921e-23 (-1.1236116309015425e-23-3.1641058578529142e-24j) (3.022759569998401e-24-1.0734178826032921e-23j)
38.5 -1.0404692367050156e-23 -5.064243659988097e-24 4.838014805996529e-24 -9.939896083859845e-24 (-1.0404692367050156e-23-5.064243659988097e-24j) (4.838014805996529e-24-9.939896083859845e-24j)
38.75 -9.2814463769191e-24 -6.742078863430956e-24 6.44089809939198e-24 -8.866827508197539e-24 (-9.2814463769191e-24-6.742078863430956e-24j) (6.44089809939198e-24-8.866827508197539e-24j)
39.0 -7.921027625718523e-24 -8.161354971818263e-24 7.79677259659006e-24 -7.567181104398878e-24 (-7.921027625718523e-24-8.161354971818263e-24j) (7.79677259659006e-24-7.567181104398878e-24j)
39.25 -6.380055301103713e-24 -9.29764213055365e-24 8.882299768447831e-24 -6.095046779382048e-24 (-6.380055301103713e-24-9.29764213055365e-24j) (8.882299768447831e-24-6.095046779382048e-24j)
39.5 -4.714983411572713e-24 -1.013760079061793e-23 9.68473596754366e-24 -4.504356639757422e-24 (-4.714983411572713e-24-1.013760079061793e-23j) (9.68473596754366e-24-4.504356639757422e-24j)
39.75 -2.9803093391136936e-24 -1.0677970302137264e-23 1.0200966203086036e-23 -2.8471735716436022e-24 (-2.9803093391136936e-24-1.0677970302137264e-23j) (1.0200966203086036e-23-2.8471735716436022e-24j)
40.0 -1.2271307922178995e-24 -1.092437122086253e-23 1.0436359950512241e-23 -1.1723126571793748e-24 (-1.2271307922178995e-24-1.092437122086253e-23j) (1.0436359950512241e-23-1.1723126571793748e-24j)
40.25 4.979592475209174e-25 -1.0889999323394972e-23 1.0403523507397924e-23 4.757145141580235e-25 (4.979592475209174e-25-1.0889999323394972e-23j) (1.0403523507397924e-23+4.757145141580235e-25j)
40.5 2.1536612405949454e-24 -1.0594277590772439e-23 1.0121012195356092e-23 2.057453327418233e-24 (2.1536612405949454e-24-1.0594277590772439e-23j) (1.0121012195356092e-23+2.057453327418233e-24j)
40.75 3.704470892909429e-24 -1.0061520523092648e-23 9.612054342123535e-24 3.538985529049588e-24 (3.704470892909429e-24-1.0061520523092648e-23j) (9.612054342123535e-24+3.538985529049588e-24j)
41.0 5.120928270491421e-24 -9.319653675259148e-24 8.903328017943296e-24 4.892167213206705e-24 (5.120928270491421e-24-9.319653675259148e-24j) (8.903328017943296e-24+4.892167213206705e-24j)
41.25 6.379650787396861e-24 -8.399020664184631e-24 8.023821335897482e-24 6.094660336028534e-24 (6.379650787396861e-24-8.399020664184631e-24j) (8.023821335897482e-24+6.094660336028534e-24j)
41.5 7.463187006126302e-24 -7.331300351490408e-24 7.003798005999087e-24 7.129793047051932e-24 (7.463187006126302e-24-7.331300351490408e-24j) (7.003798005999087e-24+7.129793047051932e-24j)
41.75 8.359727064933098e-24 -6.148548593946804e-24 5.873881892360151e-24 7.986283052251734e-24 (8.359727064933098e-24-6.148548593946804e-24j) (5.873881892360151e-24+7.986283052251734e-24j)
42.0 9.062703326764054e-24 -4.882371924485687e-24 4.664267607356602e-24 8.657856102710023e-24 (9.062703326764054e-24-4.882371924485687e-24j) (4.664267607356602e-24+8.657856102710023e-24j)
42.25 9.570311881243285e-24 -3.56323475790415e-24 3.404058665696636e-24 9.142788871965205e-24 (9.570311881243285e-24-3.56323475790415e-24j) (3.404058665696636e-24+9.142788871965205e-24j)
